CGPA,Programming Skill (1-10),Math Skill (1-10),Problem Solving (1-10),Communication Skill (1-10),Cybersecurity Knowledge (1-10),Database Knowledge (1-10),AI/ML Knowledge (1-10),Networking Skill (1-10),Creativity (1-10),Leadership (1-10),Mobile Dev Skill (1-10),Cloud Computing Skill (1-10),Blockchain Knowledge (1-10),Robotics Skill (1-10),System Design (1-10),Design Skill (1-10),Preferred Interest,Suggested Career
7.12,5,1,2,9,8,7,2,9,8,3,2,6,7,1,2,5,Analytics,You don’t have enough skills yet. Keep learning!
9.16,5,5,8,9,4,6,2,9,5,3,4,6,5,9,4,5,Networking,You don’t have enough skills yet. Keep learning!
7.57,5,7,2,10,1,7,8,4,5,7,9,6,6,7,9,3,Systems,You don’t have enough skills yet. Keep learning!
6.19,3,9,8,8,9,4,8,6,1,10,1,9,5,6,3,6,Research,IoT Engineer
6.48,10,4,1,2,10,3,3,3,6,7,2,2,5,8,8,7,Networking,Robotics Engineer
9.22,8,8,3,4,3,7,1,6,8,3,9,1,8,1,4,1,Coding,Blockchain Developer
9.08,5,4,1,8,6,2,10,5,10,9,4,1,3,3,5,8,Design,UI/UX Designer
8.11,7,8,5,8,7,9,3,3,9,1,4,10,3,10,6,7,Coding,Robotics Engineer
9.91,4,9,5,4,1,5,3,6,3,10,4,3,2,5,9,4,Coding,You don’t have enough skills yet. Keep learning!
7.1,9,3,2,3,6,7,8,10,8,2,1,1,3,2,1,8,Networking,Game Developer
8.88,8,10,8,10,8,5,4,10,1,3,10,9,3,2,7,1,Coding,Network Engineer
6.84,10,5,10,2,3,5,2,8,10,9,4,5,7,10,2,10,Coding,UI/UX Designer
9.86,3,1,9,3,5,9,8,7,6,3,2,10,9,10,6,6,Systems,Database Administrator
8.12,10,2,9,9,5,4,9,10,1,8,9,9,4,9,8,8,Analytics,Project Manager
6.89,10,7,3,1,3,10,4,6,7,4,5,10,4,3,3,3,Design,Web Developer
8.39,8,7,8,3,10,5,4,10,10,5,3,2,9,6,10,9,Coding,UI/UX Designer
7.93,6,4,7,6,1,10,3,1,3,8,6,8,10,9,10,4,Networking,Database Administrator
