CGPA,Programming Skill (1-10),Math Skill (1-10),Problem Solving (1-10),Communication Skill (1-10),Cybersecurity Knowledge (1-10),Database Knowledge (1-10),AI/ML Knowledge (1-10),Networking Skill (1-10),Creativity (1-10),Leadership (1-10),Mobile Dev Skill (1-10),Cloud Computing Skill (1-10),Blockchain Knowledge (1-10),Robotics Skill (1-10),System Design (1-10),Design Skill (1-10),Preferred Interest,Suggested Career
6.8,8,2,7,9,2,4,5,5,5,5,4,6,2,10,4,4,Analytics,Robotics Engineer
7.26,4,1,5,10,10,7,3,4,10,10,9,4,1,3,5,6,Systems,Project Manager
6.3,4,4,9,5,4,7,4,5,7,8,6,3,2,9,3,5,Design,Software Engineer
8.67,9,6,5,7,9,2,7,5,4,4,9,5,6,2,4,10,Networking,Mobile App Developer
8.02,10,8,4,4,3,5,10,2,3,10,9,2,2,10,2,4,Design,Mobile App Developer
9.3,9,2,4,6,4,1,2,5,7,5,8,7,6,4,4,10,Design,Mobile App Developer
9.5,5,4,9,1,2,9,6,7,2,10,2,7,8,5,9,2,Analytics,Database Administrator
6.22,7,9,5,7,9,9,2,6,9,5,2,4,1,8,6,10,Research,Robotics Engineer
7.62,7,5,6,1,2,9,8,3,3,5,9,3,1,3,5,2,Design,Software Engineer
9.79,7,9,4,5,10,6,8,5,5,9,7,7,8,7,1,5,Management,Blockchain Developer
9.79,4,7,1,8,9,9,4,8,4,1,4,2,1,6,6,1,Systems,Cybersecurity Specialist
7.9,9,3,8,7,5,4,8,9,3,10,4,7,4,6,7,4,Design,Cloud Engineer
8.19,2,1,9,1,10,9,4,3,5,1,7,9,4,9,1,9,Systems,Database Administrator
7.88,10,7,1,8,8,4,10,1,10,4,3,9,6,7,3,7,Networking,AI/ML Engineer
7.79,4,10,4,4,9,2,3,5,4,6,9,3,4,6,6,4,Networking,Software Engineer
6.08,5,9,5,4,2,2,1,8,4,4,3,8,8,1,1,9,Coding,Cloud Engineer
9.11,2,3,4,9,4,4,6,10,1,3,1,10,4,5,6,8,Analytics,Cloud Engineer
8.06,9,6,1,4,6,2,5,4,6,4,4,1,9,6,5,5,Systems,Blockchain Developer
7.68,4,3,10,10,5,7,8,4,4,3,6,4,3,3,6,7,Coding,Software Engineer
6.85,1,2,2,2,1,6,6,6,1,8,9,1,8,4,6,9,Systems,Software Engineer
6.4,6,2,6,7,10,9,5,5,9,5,5,2,6,6,5,9,Management,UI/UX Designer
8.22,5,8,6,10,6,5,4,5,3,8,7,4,7,1,1,2,Research,Project Manager
8.17,1,7,3,7,7,3,10,1,9,10,7,1,8,3,10,6,Systems,Software Engineer
6.45,5,7,9,8,8,5,6,8,1,7,8,6,1,9,5,9,Research,Software Engineer
8.37,2,4,10,9,3,9,7,5,5,5,2,10,10,2,6,1,Management,Database Administrator
8.28,8,5,1,5,8,1,9,4,3,9,3,8,8,1,6,5,Systems,AI/ML Engineer
9.62,5,7,8,9,7,4,6,1,3,10,10,6,6,5,1,6,Management,Project Manager
9.93,7,7,9,3,10,7,4,9,4,2,2,2,5,8,6,6,Design,Cybersecurity Specialist
7.12,10,6,1,1,1,1,6,5,5,5,8,9,4,8,4,6,Networking,Mobile App Developer
6.01,3,1,10,5,7,2,4,2,1,6,8,6,9,8,8,10,Analytics,Software Engineer
6.12,5,1,9,7,10,9,7,9,5,7,3,10,2,10,3,5,Coding,Cybersecurity Specialist
7.63,6,8,6,1,10,3,3,6,9,4,2,5,1,7,5,1,Coding,Software Engineer
7.11,8,6,1,4,3,2,10,6,8,10,10,7,9,4,5,7,Analytics,Mobile App Developer
8.24,1,10,8,7,9,8,7,5,6,2,9,7,4,7,1,8,Coding,Data Scientist
6.37,4,5,5,6,5,2,8,8,9,2,10,10,1,2,4,2,Research,Cloud Engineer
6.05,3,8,6,6,5,3,3,2,3,10,8,6,1,10,9,4,Management,Software Engineer
9.51,6,9,8,2,8,6,6,3,3,7,6,6,1,3,9,6,Design,Data Analyst
6.17,9,2,4,7,4,5,6,1,7,9,3,6,10,9,6,7,Management,Blockchain Developer
8.63,4,2,10,4,5,5,3,1,1,2,2,1,8,7,10,2,Management,Software Engineer
8.63,8,5,4,1,10,5,5,3,6,9,4,2,4,9,9,7,Design,Robotics Engineer
7.09,7,10,3,8,7,7,3,3,2,10,2,4,5,10,8,6,Research,Robotics Engineer
6.67,4,8,3,10,9,10,6,8,6,2,3,7,1,4,7,2,Management,Cybersecurity Specialist
6.28,4,3,6,2,7,9,5,9,3,8,9,10,4,5,3,1,Systems,Cloud Engineer
6.54,7,1,9,5,4,8,5,10,2,10,7,2,4,1,9,2,Coding,Network Engineer
6.29,8,3,6,2,7,3,4,9,7,5,2,10,7,1,5,4,Networking,Cloud Engineer
8.15,3,6,6,2,2,2,2,7,8,9,7,8,8,8,7,4,Research,Software Engineer
8.34,5,9,9,1,1,8,8,10,8,10,8,1,2,4,5,6,Analytics,Data Scientist
7.3,7,9,2,10,7,4,5,7,5,7,6,10,10,6,5,8,Design,Blockchain Developer
7.86,5,5,3,4,8,1,4,5,3,7,6,6,8,1,3,2,Research,Software Engineer
7.56,9,9,9,4,9,4,1,8,10,6,2,7,4,5,9,5,Management,Data Analyst
9.84,8,10,9,4,4,2,9,8,8,9,3,8,8,3,7,6,Systems,Data Scientist
9.79,4,6,9,9,10,7,3,5,8,2,2,7,10,7,8,6,Research,Software Engineer
6.08,2,2,4,1,3,5,4,7,10,6,6,10,6,2,8,7,Design,Software Engineer
6.65,6,2,4,8,10,10,6,1,8,8,5,7,9,3,8,7,Design,Software Engineer
7.92,1,4,9,8,10,1,4,3,3,9,8,4,3,7,7,5,Systems,Software Engineer
8.07,4,1,6,10,1,10,8,10,6,9,3,8,10,1,3,6,Analytics,Cloud Engineer
9.87,1,8,9,9,1,8,6,9,1,2,2,3,9,10,6,9,Design,Data Analyst
8.91,3,7,1,8,2,2,6,9,10,7,9,5,4,4,7,1,Design,Network Engineer
7.91,1,6,6,10,7,7,1,2,8,8,7,2,7,3,2,3,Networking,Project Manager
6.4,8,10,9,1,4,9,5,6,5,5,2,7,10,1,10,10,Management,Web Developer
7.7,3,10,1,9,5,8,9,3,9,2,10,9,10,9,9,10,Coding,UI/UX Designer
9.59,3,2,4,4,1,9,10,7,8,2,1,5,10,8,5,4,Coding,Software Engineer
8.51,2,6,5,10,2,2,8,6,3,9,1,5,10,3,1,7,Research,IoT Engineer
9.89,3,7,1,5,5,6,1,2,8,7,10,9,2,6,5,1,Research,Software Engineer
6.85,8,8,6,5,10,9,8,7,4,3,5,6,8,6,8,3,Systems,Web Developer
7.25,9,1,9,5,5,2,4,3,6,8,10,8,6,5,5,8,Analytics,Mobile App Developer
9.14,4,1,3,7,6,2,5,9,4,7,10,5,9,7,6,9,Systems,Software Engineer
7.85,7,10,6,10,1,7,3,7,5,3,10,4,2,2,8,7,Research,Software Engineer
6.94,5,2,5,8,5,1,9,9,6,9,2,6,3,7,5,2,Design,Software Engineer
7.74,10,5,2,5,3,9,5,10,8,7,3,6,6,4,1,5,Networking,Web Developer
7.19,4,10,9,3,7,5,3,1,2,1,9,5,5,10,7,9,Systems,Data Analyst
6.56,1,2,8,4,2,3,1,5,5,5,8,2,1,8,5,9,Systems,Software Engineer
9.32,10,1,1,5,10,9,10,7,5,2,10,4,8,1,1,6,Analytics,Web Developer
6.43,3,6,5,8,7,9,2,6,6,8,5,5,7,2,10,7,Systems,Software Engineer
8.22,2,5,1,1,9,6,2,10,2,4,7,5,8,8,1,10,Management,Cybersecurity Specialist
6.08,9,6,6,4,8,8,10,9,3,5,1,9,7,6,1,6,Research,Web Developer
7.9,3,10,3,7,8,4,6,8,7,5,8,4,9,4,3,6,Systems,Software Engineer
7.41,9,5,8,7,5,7,8,5,10,2,2,9,3,9,10,9,Networking,Web Developer
7.0,1,5,10,8,2,7,1,6,3,7,3,3,4,1,2,10,Analytics,Software Engineer
8.49,8,1,4,10,8,6,9,6,2,9,1,10,5,1,10,4,Management,AI/ML Engineer
9.89,4,2,8,8,8,6,4,2,4,4,1,8,5,6,9,9,Design,Software Engineer
8.45,5,6,1,6,6,2,3,9,8,6,8,10,3,3,8,3,Management,Cloud Engineer
8.06,1,7,8,8,7,10,8,10,7,2,8,8,9,4,4,2,Coding,Cloud Engineer
7.46,10,3,4,9,8,10,1,1,4,6,7,5,9,5,9,5,Design,Web Developer
7.95,3,9,6,6,7,3,7,3,3,3,4,3,6,1,5,10,Management,Software Engineer
7.09,2,3,1,3,1,2,10,3,10,5,3,9,3,4,9,9,Coding,UI/UX Designer
8.39,5,8,3,1,4,1,5,7,2,2,1,6,7,7,7,4,Networking,Software Engineer
6.15,2,9,6,4,7,2,1,3,1,1,10,6,2,8,5,7,Research,Software Engineer
6.37,6,5,10,4,3,10,10,5,1,4,8,2,1,4,5,3,Coding,Database Administrator
7.05,7,5,3,5,6,2,7,4,9,2,3,7,5,1,1,1,Management,Software Engineer
9.6,4,5,6,5,6,10,2,3,6,9,3,2,6,7,9,5,Coding,Software Engineer
6.18,4,8,6,9,7,1,7,7,1,2,10,7,5,4,7,2,Design,Software Engineer
9.04,3,3,6,8,9,9,3,8,6,2,9,1,6,1,9,5,Networking,Cybersecurity Specialist
7.16,9,3,2,10,9,2,8,8,2,2,8,1,7,8,3,7,Research,Mobile App Developer
6.8,9,9,1,8,7,6,8,4,6,1,5,10,9,8,7,2,Networking,Blockchain Developer
8.3,2,5,4,7,2,8,9,2,10,9,8,7,4,3,8,5,Analytics,Software Engineer
8.55,1,5,9,5,4,2,2,1,6,4,10,8,7,7,10,6,Coding,Software Engineer
9.27,9,5,4,10,10,9,1,1,5,10,5,10,10,2,6,4,Coding,Web Developer
8.82,3,9,5,10,10,7,8,9,8,5,4,8,7,10,4,7,Coding,Cybersecurity Specialist
7.49,10,4,7,7,2,9,9,5,4,6,8,8,3,10,3,8,Design,Web Developer
7.27,10,7,2,4,7,8,8,5,4,5,3,3,1,6,4,4,Systems,Web Developer
8.34,10,4,3,2,9,8,8,9,6,6,10,3,7,7,7,2,Management,Web Developer
8.51,7,1,10,3,2,9,8,4,4,9,2,6,5,6,6,8,Research,Database Administrator
6.58,4,2,5,10,5,9,7,7,6,4,8,8,6,6,5,3,Management,Software Engineer
7.63,10,7,10,1,1,5,1,4,9,9,1,4,3,5,3,7,Networking,Game Developer
6.44,8,6,2,2,6,9,2,6,4,1,9,9,3,5,4,10,Networking,Web Developer
7.71,3,7,1,3,5,9,6,2,6,6,4,3,9,10,8,2,Networking,Software Engineer
6.01,9,4,6,9,9,6,4,8,8,9,3,10,6,9,10,6,Research,Cybersecurity Specialist
9.16,2,7,6,1,3,7,9,7,2,10,1,10,9,3,10,2,Coding,Software Engineer
9.73,10,1,7,8,4,5,2,4,9,1,9,8,4,7,7,10,Management,Mobile App Developer
8.26,9,4,2,10,9,9,8,5,1,7,6,9,7,3,2,3,Analytics,Web Developer
7.2,6,4,8,1,2,4,8,4,4,9,5,8,5,10,6,9,Networking,Software Engineer
